amc,year,soy_prod,total_prod,other_agro
110004,1988,0,95450,95450
110004,1989,0,88045,88045
110004,1990,0,70662,70662
110004,1991,0,77811,77811
110004,1992,0,78435,78435
110004,1993,0,78573,78573
110004,1994,0,83309,83309
110004,1995,0,70064,70064
110004,1996,24,49832,49808
110004,1997,20,48844,48824
110004,1998,0,51339,51339
110004,1999,0,57769,57769
110004,2000,0,58929,58929
110004,2001,0,48706,48706
110004,2002,0,34979,34979
110004,2003,0,36246,36246
110004,2004,0,34709,34709
110004,2005,0,36010,36010
110004,2006,0,33745,33745
110004,2007,0,33841,33841
110004,2008,0,36817,36817
110004,2009,0,34098,34098
110004,2010,0,34068,34068
110004,2011,0,125256,125256
110004,2012,0,31514,31514
110004,2013,0,27266,27266
110004,2014,0,23608,23608
110004,2015,250,23841,23591
110004,2016,556,24096,23540
110004,2017,570,24464,23894
110004,2018,570,22103,21533
110004,2019,1000,21670,20670
110004,2020,1000,21639,20639
110004,2021,2160,23806,21646
110005,1988,120,30585,30465
110005,1989,155,62334,62179
110005,1990,140,47737,47597
110005,1991,140,47055,46915
110005,1992,140,59767,59627
110005,1993,140,64654,64514
110005,1994,140,70846,70706
110005,1995,0,48307,48307
110005,1996,0,44218,44218
110005,1997,0,46687,46687
110005,1998,2800,52562,49762
110005,1999,2550,69754,67204
110005,2000,2900,70486,67586
110005,2001,3839,61585,57746
110005,2002,4000,53565,49565
110005,2003,8500,62778,54278
110005,2004,11543,74027,62484
110005,2005,16720,87816,71096
110005,2006,33300,98961,65661
110005,2007,30000,95758,65758
110005,2008,33000,101314,68314
110005,2009,39400,117307,77907
110005,2010,45420,127241,81821
110005,2011,47335,134347,87012
110005,2012,51850,132576,80726
110005,2013,61600,139093,77493
110005,2014,66030,151094,85064
110005,2015,74872,164741,89869
110005,2016,74580,160050,85470
110005,2017,76740,176021,99281
110005,2018,89811,201237,111426
110005,2019,97603,219674,122071
110005,2020,101883,234133,132250
110005,2021,110092,269619,159527
110008,1988,0,5381,5381
110008,1989,0,6604,6604
110008,1990,0,5414,5414
110008,1991,0,15493,15493
110008,1992,0,24026,24026
110008,1993,0,21675,21675
110008,1994,0,41369,41369
110008,1995,0,45754,45754
110008,1996,1,29072,29071
110008,1997,2,33198,33196
110008,1998,0,33203,33203
110008,1999,0,40046,40046
110008,2000,0,41978,41978
110008,2001,0,46398,46398
110008,2002,0,35257,35257
110008,2003,100,36529,36429
110008,2004,0,39396,39396
110008,2005,100,38613,38513
110008,2006,300,39466,39166
110008,2007,300,39339,39039
110008,2008,0,38163,38163
110008,2009,0,38619,38619
110008,2010,0,39113,39113
110008,2011,0,39872,39872
110008,2012,497,30948,30451
110008,2013,3500,30859,27359
110008,2014,4200,33807,29607
110008,2015,11000,42535,31535
110008,2016,9500,37319,27819
110008,2017,12700,42821,30121
110008,2018,14791,41361,26570
110008,2019,15790,44785,28995
110008,2020,14897,44125,29228
110008,2021,20337,53889,33552
110009,1988,0,16354,16354
110009,1989,0,12332,12332
110009,1990,0,9107,9107
110009,1991,0,12063,12063
110009,1992,0,8205,8205
110009,1993,0,7209,7209
110009,1994,0,9139,9139
110009,1995,0,10223,10223
110009,1996,3,8967,8964
110009,1997,4,9936,9932
110009,1998,0,9912,9912
110009,1999,0,12367,12367
110009,2000,0,12157,12157
110009,2001,0,9572,9572
110009,2002,0,8816,8816
110009,2003,0,8394,8394
110009,2004,0,8444,8444
110009,2005,0,8710,8710
110009,2006,0,8591,8591
110009,2007,0,8833,8833
110009,2008,0,9284,9284
110009,2009,0,7490,7490
110009,2010,0,6990,6990
110009,2011,0,6240,6240
110009,2012,200,5710,5510
110009,2013,200,5876,5676
110009,2014,320,5887,5567
110009,2015,900,5765,4865
110009,2016,1080,5303,4223
110009,2017,1080,5588,4508
110009,2018,900,5275,4375
110009,2019,900,5298,4398
110009,2020,900,5293,4393
110009,2021,1130,6811,5681
110010,1988,0,9330,9330
110010,1989,0,5561,5561
110010,1990,0,4284,4284
110010,1991,0,3195,3195
110010,1992,0,3973,3973
110010,1993,0,4097,4097
110010,1994,0,5395,5395
110010,1995,0,5800,5800
110010,1996,0,1604,1604
110010,1997,0,1831,1831
110010,1998,0,1996,1996
110010,1999,0,1981,1981
110010,2000,0,2191,2191
110010,2001,0,2370,2370
110010,2002,0,1633,1633
110010,2003,0,1848,1848
110010,2004,0,2611,2611
110010,2005,0,2571,2571
110010,2006,0,2329,2329
110010,2007,0,1961,1961
110010,2008,0,1986,1986
110010,2009,0,1710,1710
110010,2010,0,1652,1652
110010,2011,0,974,974
110010,2012,0,760,760
110010,2013,0,759,759
110010,2014,0,717,717
110010,2015,0,665,665
110010,2016,0,661,661
110010,2017,0,787,787
110010,2018,0,753,753
110010,2019,0,753,753
110010,2020,0,833,833
110010,2021,0,887,887
110011,1988,0,50199,50199
110011,1989,0,50059,50059
110011,1990,0,47297,47297
110011,1991,0,51045,51045
110011,1992,0,62584,62584
110011,1993,0,66326,66326
110011,1994,0,75264,75264
110011,1995,0,84123,84123
110011,1996,0,30637,30637
110011,1997,0,31252,31252
110011,1998,0,35666,35666
110011,1999,0,38938,38938
110011,2000,0,46189,46189
110011,2001,0,37200,37200
110011,2002,0,35021,35021
110011,2003,0,36648,36648
110011,2004,0,35374,35374
110011,2005,0,36215,36215
110011,2006,0,31176,31176
